Formula, something, somethingelse,Formula_mono_iso_wt_nat
C33H24O10,13,14,613.2476566
C33H24O10,12,15,580.136947
C33H24O10,13,15,613.2476566
C20H27NO11,12,14,457.1584107
C20H27NO11,13,14,477.2255075
C20H27NO11,12,15,458.1554456
C20H27NO11,13,15,478.2225424
C15H18O4,12,14,262.1205091
C15H18O4,13,14,277.1708316
C15H18O4,12,15,262.1205091
C15H18O4,13,15,277.1708316
C20H27NO12,12,14,473.1533253
C20H27NO12,13,14,493.2204221
C20H27NO12,12,15,474.1503602
C20H27NO12,13,15,494.217457
C15H18O5,12,14,278.1154237
C15H18O5,13,14,293.1657463
C15H18O5,12,15,278.1154237
C15H18O5,13,15,293.1657463
C27H36F2O5,12,14,478.2530807
C27H36F2O5,13,14,505.3436613
C27H36F2O5,12,15,478.2530807
C27H36F2O5,13,15,505.3436613
C15H18O6,12,14,294.1103383
C15H18O6,13,14,309.1606609
C15H18O6,12,15,294.1103383
C15H18O6,13,15,309.1606609
C36H51N3O10,12,14,685.3574449
C36H51N3O10,13,14,721.478219
C36H51N3O10,12,15,688.3485496
C36H51N3O10,13,15,724.4693237
C27H36F2O6,12,14,494.2479953
C27H36F2O6,13,14,521.3385759
C27H36F2O6,12,15,494.2479953
C27H36F2O6,13,15,521.3385759
C12H8N4O6S,12,14,336.0164547
C12H8N4O6S,13,14,348.0567128
C12H8N4O6S,12,15,340.0045943
C12H8N4O6S,13,15,352.0448523
C15H18O7,12,14,310.1052529
C15H18O7,13,14,325.1555755
C15H18O7,12,15,310.1052529
C15H18O7,13,15,325.1555755
C28H52O12,12,14,580.3458771
C28H52O12,13,14,608.4398126
C28H52O12,12,15,580.3458771
C28H52O12,13,15,608.4398126
C15H18O8,12,14,326.1001676
C15H18O8,13,14,341.1504901
C15H18O8,12,15,326.1001676
C15H18O8,13,15,341.1504901
C16H20N2O9S2,12,14,448.0610216
C16H20N2O9S2,13,14,464.114699
C16H20N2O9S2,12,15,450.0550914
C16H20N2O9S2,13,15,466.1087688
C15H18O9,12,14,342.0950822
C15H18O9,13,14,357.1454047
C15H18O9,12,15,342.0950822
C15H18O9,13,15,357.1454047
C12H15N5O3,12,14,277.1174894
C12H15N5O3,13,14,289.1577474
C12H15N5O3,12,15,282.1026638
C12H15N5O3,13,15,294.1429219
C13H15NO2,12,14,217.1102787
C13H15NO2,13,14,230.1538916
C13H15NO2,12,15,218.1073136
C13H15NO2,13,15,231.1509265
